Num_children,Income,Wines,Fruits,Meat,Fish,Sweets,Gold,Total,labels
0,58138,635,88,546,172,88,88,1617,2
2,46344,11,1,6,2,1,6,27,0
0,71613,426,49,127,111,21,42,776,1
1,26646,11,4,20,10,3,5,53,0
1,58293,173,43,118,46,27,15,422,1
1,62513,520,42,98,0,42,14,716,1
1,55635,235,65,164,50,49,27,590,1
1,33454,76,10,56,3,1,23,169,0
1,30351,14,0,24,3,3,2,46,0
2,5648,28,0,6,1,1,13,49,0
0,7500,6,16,11,11,1,16,61,0
0,63033,194,61,480,225,112,30,1102,2
2,59354,233,2,53,3,5,14,310,0
0,17323,3,14,17,6,1,5,46,0
0,82800,1006,22,115,59,68,45,1315,2
2,41850,53,5,19,2,13,4,96,0
0,37760,84,5,38,150,12,28,317,0
1,76995,1012,80,498,0,16,176,1782,2
1,33812,4,17,19,30,24,39,133,0
0,37040,86,2,73,69,38,48,316,0
1,2447,1,1,1725,1,1,1,1730,1
1,58607,867,0,86,0,0,19,972,1
1,65324,384,0,102,21,32,5,544,1
1,40689,270,3,27,39,6,99,444,0
0,18589,6,4,25,15,12,13,75,0
2,53359,173,4,30,3,6,41,257,0
1,38360,36,2,42,20,21,10,131,0
0,84618,684,100,801,21,66,0,1672,2
0,10979,8,4,10,2,2,4,30,0
0,38620,112,17,44,34,22,89,318,0
1,40548,110,0,5,2,0,3,120,0
2,46610,96,12,96,33,22,43,302,0
0,68657,482,34,471,119,68,22,1196,2
2,49389,40,0,19,2,1,3,65,0
1,67353,702,17,151,0,8,35,913,1
1,23718,6,3,14,15,7,36,81,0
1,42429,55,0,6,2,0,4,67,0
0,48948,437,8,206,160,49,42,902,2
1,80011,421,76,536,82,178,102,1395,2
1,20559,13,1,29,3,0,7,53,0
1,21994,9,0,6,3,1,3,22,0
1,7500,3,1,10,3,2,12,31,0
0,79941,123,164,266,227,30,174,984,2
0,7500,3,18,14,15,22,50,122,0
1,41728,13,6,15,3,5,13,55,0
2,72550,826,50,317,50,38,38,1319,1
1,65486,245,19,125,37,67,14,507,1
0,79143,650,37,780,27,167,32,1693,2
1,35790,12,6,20,30,1,3,72,0
0,82582,510,120,550,156,40,241,1617,2
2,66373,328,9,124,12,24,109,606,1
0,82384,984,51,432,180,120,190,1957,2
0,70287,295,35,482,121,120,40,1093,2
1,27938,13,0,8,2,1,5,29,0
1,55954,447,0,28,0,0,43,518,1
0,75777,712,26,538,69,13,80,1438,2
2,66653,452,18,102,16,18,6,612,1
1,61823,523,7,134,37,14,169,884,1
1,67680,546,0,48,0,6,6,606,1
0,70666,398,40,367,119,122,30,1076,2
1,25721,1,3,6,3,6,15,34,0
2,32474,10,0,1,0,0,0,11,0
1,88194,688,14,309,201,24,38,1274,2
1,69096,247,49,159,7,82,109,653,1
3,74854,856,59,487,58,29,73,1562,1
0,66991,496,36,460,189,60,12,1253,2
1,65031,258,107,291,84,37,86,863,1
2,60631,565,6,65,0,6,19,661,1
0,28332,14,10,13,4,15,9,65,0
1,40246,2,1,6,2,1,1,13,0
0,75251,721,111,925,97,18,18,1890,2
0,75825,1032,105,779,137,105,51,2209,2
0,26326,1,0,5,0,3,9,18,0
0,56046,577,0,64,0,0,51,692,1
1,29760,64,4,68,7,5,17,165,0
1,26304,4,1,5,2,0,4,16,0
1,23559,25,5,19,7,0,23,79,0
0,38620,112,17,44,34,22,89,318,0
0,81361,163,23,424,27,65,76,778,1
2,29440,17,8,14,10,4,3,56,0
2,36138,130,0,16,0,0,5,151,0
1,50388,292,6,37,0,3,34,372,0
0,79593,350,60,568,110,133,145,1366,2
1,54178,135,9,39,4,0,7,194,0
1,42394,15,2,10,0,1,4,32,0
1,23626,27,2,14,0,0,0,43,0
1,30096,5,3,11,12,5,9,45,0
1,47916,505,0,26,0,0,75,606,1
2,51813,51,2,7,0,1,2,63,0
0,78497,207,26,447,75,0,223,978,1
0,50150,135,46,92,65,61,11,410,1
1,47823,53,1,5,2,1,10,72,0
1,34554,41,1,6,2,0,5,55,0
1,85693,386,172,183,185,132,111,1169,2
0,65846,562,81,276,80,40,81,1120,2
0,87195,217,76,690,50,26,38,1097,2
1,24594,1,3,6,10,0,9,29,0
2,49096,144,1,32,2,1,7,187,0
2,52413,295,106,271,75,98,65,910,1
1,38557,76,3,31,4,4,27,145,0
0,89058,454,194,106,31,22,43,850,2
1,77298,425,115,292,23,35,79,969,1
0,68126,1332,17,311,23,51,86,1820,2
1,57288,527,0,21,0,0,60,608,1
